Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970
ALB,3,Albania,2764,"Marine Fish, Other",5142,Food,1000 tonnes,41.15,20.17,2,2,2,2,3,3,3,4,5,5
ALB,3,Albania,2765,Crustaceans,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2766,Cephalopods,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2767,"Molluscs, Other",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2769,"Aquatic Animals, Others",5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2775,Aquatic Plants,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2680,Infant food,5142,Food,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,41.15,20.17,33,41,50,44,39,83,89,100,64,77
ALB,3,Albania,2905,Cereals - Excluding Beer,5142,Food,1000 tonnes,41.15,20.17,324,336,333,353,369,368,377,405,428,429
ALB,3,Albania,2907,Starchy Roots,5521,Feed,1000 tonnes,41.15,20.17,1,0,0,0,1,1,3,5,11,4
ALB,3,Albania,2907,Starchy Roots,5142,Food,1000 tonnes,41.15,20.17,10,10,11,16,10,30,40,45,50,55
ALB,3,Albania,2908,Sugar Crops,5521,Feed,1000 tonnes,41.15,20.17,3,4,3,8,0,6,1,0,0,1
ALB,3,Albania,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,41.15,20.17,19,20,22,24,25,26,28,29,31,32
ALB,3,Albania,2911,Pulses,5521,Feed,1000 tonnes,41.15,20.17,2,2,2,2,1,2,2,2,2,2
ALB,3,Albania,2911,Pulses,5142,Food,1000 tonnes,41.15,20.17,5,6,8,8,9,8,10,10,9,12
ALB,3,Albania,2912,Treenuts,5142,Food,1000 tonnes,41.15,20.17,5,4,4,2,2,3,3,3,4,4
ALB,3,Albania,2913,Oilcrops,5521,Feed,1000 tonnes,41.15,20.17,0,0,0,0,0,0,0,0,0,0
ALB,3,Albania,2913,Oilcrops,5142,Food,1000 tonnes,41.15,20.17,5,5,6,6,6,6,6,7,7,7
ALB,3,Albania,2914,Vegetable Oils,5142,Food,1000 tonnes,41.15,20.17,3,5,5,9,6,7,7,7,8,10
ALB,3,Albania,2918,Vegetables,5521,Feed,1000 tonnes,41.15,20.17,5,4,3,3,2,3,2,4,4,4
